txtno,portid,portdate,opening,high,low,closing,bid,offer,volume,valuess
"5945493","BBRI","2025-07-23","3840.000","3860.000","3790.000","3800.000","3800.000","3810.000","132305000","504998963000"
"5947165","BBRI","2025-07-24","3830.000","3950.000","3820.000","3950.000","3940.000","3950.000","206654200","809119430000"
"5947397","BBRI","2025-07-25","3950.000","3950.000","3870.000","3880.000","3880.000","3890.000","86263700","336220675000"
"5948930","BBRI","2025-07-28","3940.000","3950.000","3920.000","3940.000","3930.000","3940.000","94898300","373376888000"
"5949430","BBRI","2025-07-29","3930.000","3930.000","3900.000","3920.000","3910.000","3920.000","98887100","387036009000"
"5950164","BBRI","2025-07-30","3910.000","3910.000","3770.000","3780.000","3780.000","3790.000","206358500","788060391000"
"5951289","BBRI","2025-07-31","3780.000","3790.000","3700.000","3710.000","3710.000","3720.000","163371700","609331003000"
"5952665","BBRI","2025-08-01","3800.000","3800.000","3740.000","3740.000","3740.000","3750.000","134100500","505562516000"
"5953253","BBRI","2025-08-04","3720.000","3740.000","3690.000","3710.000","3700.000","3710.000","104446300","387665559000"
"5954646","BBRI","2025-08-05","3700.000","3790.000","3700.000","3740.000","3740.000","3750.000","184822600","692566127000"
"5955092","BBRI","2025-08-06","3770.000","3780.000","3710.000","3710.000","3710.000","3720.000","100168200","373618352000"
"5956479","BBRI","2025-08-07","3730.000","3750.000","3700.000","3710.000","3700.000","3710.000","92746000","344950665000"
"5957219","BBRI","2025-08-08","3710.000","3730.000","3700.000","3700.000","3700.000","3710.000","133180100","493983369000"
"5958583","BBRI","2025-08-11","3720.000","3810.000","3720.000","3810.000","3810.000","3820.000","143167900","541007518000"
"5959604","BBRI","2025-08-12","3860.000","4050.000","3830.000","4050.000","4040.000","4050.000","404797800","1605060986000"
"5960333","BBRI","2025-08-13","4060.000","4100.000","3990.000","4080.000","4070.000","4080.000","292104000","1183586832000"
"5960906","BBRI","2025-08-14","4080.000","4100.000","4040.000","4060.000","4060.000","4070.000","164408100","669335466000"
"5962405","BBRI","2025-08-15","4100.000","4150.000","4070.000","4120.000","4110.000","4120.000","269255400","1104608389000"
"5962635","BBRI","2025-08-19","4090.000","4100.000","4010.000","4040.000","4040.000","4050.000","208409700","843603355000"
"5964253","BBRI","2025-08-20","4050.000","4150.000","4050.000","4150.000","4150.000","4160.000","173260400","713434738000"
"5965025","BBRI","2025-08-21","4160.000","4170.000","4090.000","4150.000","4140.000","4150.000","112477700","464762274000"
"5965597","BBRI","2025-08-22","4170.000","4170.000","4100.000","4100.000","4100.000","4110.000","71971500","296966795000"
"5967121","BBRI","2025-08-25","4180.000","4270.000","4170.000","4210.000","4210.000","4220.000","195322200","824385462000"
"5967645","BBRI","2025-08-26","4220.000","4220.000","4170.000","4170.000","4170.000","4180.000","267465600","1117025364000"
"5968543","BBRI","2025-08-27","4130.000","4150.000","4070.000","4130.000","4120.000","4130.000","123874000","508484791000"
"5969805","BBRI","2025-08-28","4130.000","4150.000","4110.000","4140.000","4140.000","4150.000","60838200","251533585000"
"5970592","BBRI","2025-08-29","4100.000","4120.000","4020.000","4050.000","4050.000","4060.000","217276600","882534214000"
"5971526","BBRI","2025-09-01","3930.000","4010.000","3860.000","3980.000","3970.000","3980.000","234206100","923994207000"
"5972242","BBRI","2025-09-02","3980.000","4050.000","3960.000","3960.000","3960.000","3970.000","111856000","447650752000"
"5973799","BBRI","2025-09-03","4020.000","4030.000","3950.000","4030.000","4020.000","4030.000","112507500","449440348000"
"5974365","BBRI","2025-09-04","3980.000","4010.000","3960.000","4000.000","3990.000","4000.000","87402700","348932409000"
"5975189","BBRI","2025-09-08","4070.000","4070.000","3890.000","3900.000","3890.000","3900.000","143993900","571442078000"
"5976149","BBRI","2025-09-09","3870.000","3890.000","3750.000","3790.000","3790.000","3800.000","327167200","1247334590000"
"5977674","BBRI","2025-09-10","3820.000","3890.000","3820.000","3880.000","0.000","0.000","118789700","458964381000"
